Timestamp,SR.No,Text,Sentiment,Username,Platform,Hashtags,Retweets,Likes,Country,Sentiment_score
2023-01-30 15:45:00,47, New book release from my favorite author!          ,Positive, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,0.5093
2023-01-30 18:30:00,48, Attending a virtual reality meetup.                ,Neutral, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,0.0
2023-01-31 10:45:00,49, Reflecting on the beauty of nature.                ,Positive, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,0.5859
2023-01-31 19:00:00,50, Cooking a special dinner for loved ones.           ,Positive, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,0.765
2023-01-31 16:20:00,51, Feeling optimistic about the week ahead.           ,Positive, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,0.4215
2023-02-01 08:00:00,52, Starting a new fitness challenge tomorrow! 💪     ,Positive, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,0.4003
2023-02-01 13:30:00,53, Sunday bike ride through scenic trails.           ,Neutral, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,0.0
2023-02-11 09:30:00,54, Can't believe the injustice happening in our society.,Positive, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,0.4585
2023-02-11 21:15:00,55, Feeling a sense of fear after watching a thriller movie. ,Negative, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,-0.3182
2023-02-12 14:45:00,56, Heartbroken after hearing the news about a natural disaster. ,Negative, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,-0.7845
2023-02-12 18:20:00,57, The state of the world's environment is just disgusting. ,Negative, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,-0.5267
2023-02-13 10:00:00,58, Pure happiness: celebrating a loved one's achievement! ,Positive, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,0.9098
2023-02-13 19:30:00,59, Laughter is the best medicine—enjoying a comedy show. ,Positive, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,0.872
2023-02-14 08:30:00,60, Sharing love and positive vibes with everyone! ❤️      ,Positive, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,0.8977
2023-02-14 14:20:00,61, An amusing incident brightened up my day!               ,Positive, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,0.7177
2023-02-14 19:45:00,62, Enjoying a quiet evening with a book and some tea.      ,Positive, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,0.5267
2023-02-15 11:30:00,63, Admiring the beauty of nature during a peaceful hike.   ,Positive, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,0.8625
2023-02-15 16:00:00,64, Sending affectionate vibes to all my followers!          ,Positive, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,0.4926
2023-02-15 20:30:00,65, Experiencing awe at the breathtaking sunset.            ,Positive, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,0.4588
2023-02-16 09:00:00,66, Disappointed with the service at a local restaurant.    ,Negative, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,-0.4767
2023-02-16 14:45:00,67, A surprise gift from a friend made my day!              ,Positive, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,0.8172
2023-02-16 18:20:00,68, Finding acceptance in the midst of life's challenges.   ,Positive, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,0.5106
2023-02-17 10:45:00,69, Overflowing with adoration for my adorable pet! 🐾      ,Positive, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,0.8122
2023-02-17 07:30:00,70, Anticipating a thrilling adventure in the coming weeks. ,Positive, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,0.6597
2023-02-17 15:00:00,71, A bitter experience turned into a valuable lesson.      ,Positive, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,0.0772
2023-02-18 09:30:00,72, Finding calmness in the midst of a busy day.            ,Positive, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,0.4019
2023-02-18 14:20:00,73, Confusion clouds my mind as I navigate through decisions.,Negative, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,-0.296
2023-02-18 18:45:00,74, Excitement building up for the upcoming vacation!       ,Positive, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,0.5411
2023-02-19 11:30:00,75, Kindness witnessed today restored my faith in humanity. ,Positive, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,0.802
2023-02-19 16:00:00,76, Pride in achieving a personal milestone.               ,Positive, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,0.34
2023-02-19 19:45:00,77, A moment of shame for not standing up against injustice. ,Negative, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,-0.7783
2023-02-20 09:30:00,78, Fuming with anger after a heated argument.            ,Negative, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,-0.872
2023-02-20 21:15:00,79, The fear of the unknown is keeping me up at night.    ,Negative, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,-0.4939
2023-02-21 14:45:00,80, Heartfelt sadness after bidding farewell to a dear friend. ,Positive, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,0.7506
2023-02-21 18:20:00,81, The state of corruption in our society is utterly disgusting. ,Negative, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,-0.5709
2023-02-22 10:00:00,82, Overflowing happiness: welcoming a new family member!  ,Positive, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,0.7777
2023-02-22 19:30:00,83, Laughter is the key to joy—attending a stand-up comedy show. ,Positive, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,0.6908
2023-02-23 08:30:00,84, Sending love to all my followers on this beautiful day! ❤️ ,Positive, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,0.8784
2023-02-23 14:20:00,85, Amused by the antics of my pet—it's pure amusement!      ,Positive, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,0.68
2023-02-23 19:45:00,86, Enjoying every moment of this trip—pure enjoyment!      ,Positive, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,0.807
2023-02-24 11:30:00,87, Admiring the dedication of volunteers at a local charity. ,Positive, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,0.6597
2023-02-24 16:00:00,88, Sending affectionate vibes to friends and family.        ,Positive, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,0.7184
2023-02-24 20:30:00,89, Awe-struck by the beauty of the night sky.               ,Positive, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,0.5859
2023-02-25 09:00:00,90, Disappointed with the lack of progress in a personal project. ,Negative, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,-0.3818
2023-02-25 14:45:00,91, A surprise visit from an old friend brought tears of joy. ,Positive, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,0.802
2023-02-25 18:20:00,92, Embracing acceptance of life's ups and downs.           ,Positive, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,0.4588
2023-02-26 10:45:00,93, Overflowing adoration for a cute rescue puppy! 🐶       ,Positive, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,0.8883
2023-02-26 07:30:00,94, Anticipating the release of a much-awaited movie.       ,Neutral, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,0.0
2023-02-26 15:00:00,95, Bitter experience at the customer service department.   ,Negative, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,-0.4215
2023-02-27 09:30:00,96, Finding calmness amidst the chaos of daily life.        ,Negative, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,-0.25
2023-02-27 14:20:00,97, Confusion reigns as I try to make sense of recent events.,Negative, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,-0.296
2023-02-27 18:45:00,98, Excitement building up for a surprise birthday party.   ,Positive, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,0.7906
2023-02-28 11:30:00,99, Witnessed an act of kindness that made my day.          ,Positive, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,0.4588
2023-02-28 16:00:00,100, Pride in completing a challenging fitness challenge.    ,Positive, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,0.6597
2023-02-28 19:45:00,101, A moment of shame for not speaking up against injustice.,Negative, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,-0.7783
2023-03-01 10:45:00,102, Reflecting on the beauty of diversity in our world.     ,Positive, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,0.5859
2023-03-01 13:30:00,103, Excitement for a quiet evening with a good book.        ,Positive, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,0.7269
2023-03-01 17:45:00,104, Feeling bitter about the unfairness in the workplace.   ,Negative, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,-0.3182
2023-03-02 18:00:00,105, Calmness prevails as I practice mindfulness.            ,Positive, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,0.4019
2023-03-02 13:15:00,106, Confusion surrounds me as I navigate through life's choices. ,Negative, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,-0.296
2023-03-02 16:45:00,107, Excitement for a weekend road trip to explore new places. ,Positive, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,0.4939
2023-03-03 11:30:00,108, Kindness witnessed today restores my faith in humanity.  ,Positive, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,0.7906
2023-03-03 14:30:00,109, Pride in accomplishing personal and professional goals.  ,Positive, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,0.34
2023-03-03 12:00:00,110, Shame for not being true to my values in a difficult situation.,Negative, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,-0.6407
2010-05-15 15:30:00,111," Revisiting old memories, feeling a sense of elation. ",Positive, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,0.4588
2021-08-10 21:15:00,112, The victory of our team brought euphoria to the city. ,Positive, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,0.6486
2011-06-20 14:45:00,113," Embracing the beauty of nature, a moment of contentment. ",Positive, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,0.743
2022-02-12 18:20:00,114," Meditating by the serene lake, finding inner peace.   ",Positive, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,0.7579
2012-11-25 10:00:00,115, Overflowing with gratitude for life's blessings.      ,Positive, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,0.7783
2013-04-05 19:30:00,116," Hopeful for a brighter tomorrow, despite challenges.  ",Positive, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      ,0.6886
2014-09-14 08:30:00,117, Empowered to make a difference in my community.        ,Neutral, CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       ,0.0
2015-07-18 14:20:00,118, Compassion in action: supporting a local charity event. ,Positive, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,0.8271
2016-02-23 19:45:00,119," A moment of tenderness, connecting with loved ones.    ",Positive, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,0.7717
2017-10-30 11:30:00,120, Arousal of excitement as I await a special announcement.,Positive, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20,40, Australia ,0.743
2018-06-15 16:00:00,121, Enthusiastically diving into a new project.            ,Positive, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,0.5994
2019-03-28 18:20:00,122, Feeling a sense of fulfillment after reaching a milestone.,Positive, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,0.3182
2019-11-11 15:00:00,123, Reverence for the beauty of a historic landmark.       ,Positive, HistoryLover    , Twitter  , #Reverence #History                           ,18,35, UK      ,0.6249
2020-04-02 09:30:00,124, Elation after a surprise reunion with old friends.    ,Positive, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25,50, Canada      ,0.7717
2021-06-19 14:45:00,125, The euphoria of a live music concert under the stars.  ,Positive, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,0.6486
2010-08-15 10:00:00,126, Contentment in the simplicity of a quiet Sunday.       ,Positive, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,0.3612
2011-09-22 19:30:00,127, Serenity found in the pages of a favorite book.        ,Positive, BookLover3      , Instagram , #Serenity #BookTime                           ,22,45, UK          ,0.4588
2012-03-10 08:30:00,128, Gratitude for the support received during tough times. ,Positive, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15,30, India     ,0.6705
2013-12-05 16:00:00,129, Hopeful about the possibilities of a new journey.      ,Positive, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,0.5106
2014-07-20 11:30:00,130, Empowerment through learning and personal growth.      ,Positive, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,0.3818
2015-12-22 14:20:00,131, Compassion towards those in need during the holidays.  ,Positive, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,0.6808
2016-02-10 19:45:00,132, Tenderness in the warmth of a cozy winter evening.     ,Positive, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,0.7003
2017-04-30 11:30:00,133, Arousal of excitement for an upcoming adventure.       ,Positive, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,0.6705
2018-09-15 16:00:00,134, Enthusiasm for a creative project in the making.       ,Positive, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,0.7003
2019-06-28 18:20:00,135, Fulfillment in completing a challenging workout routine.,Positive, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,0.1531
2020-11-11 15:00:00,136, Reverence for the artistry displayed in a museum.      ,Neutral, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,0.0
2021-03-02 09:30:00,137, Elation after achieving a personal goal.               ,Positive, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,0.3612
2012-02-18 14:30:00,138, Elation over discovering a hidden gem in the city.   ,Positive, UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20,40, USA      ,0.3612
2018-11-05 21:45:00,139, The euphoria of a surprise birthday celebration.     ,Positive, BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15,30, UK   ,0.7506
2015-09-12 13:20:00,140, Contentment in the simplicity of a home-cooked meal. ,Positive, HomeChef        , Facebook , #Contentment #HomeCooking                     ,25,50, India    ,0.3612
2016-07-30 18:10:00,141, Serenity found in the melody of a peaceful piano.    ,Positive, MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18,35, Canada      ,0.4939
2013-04-20 10:30:00,142, Gratitude for the supportive community around me.    ,Positive, CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30,60, USA ,0.6705
2017-12-08 19:15:00,143, Hopeful about the prospects of a new business venture.,Positive, EntrepreneurHope, Facebook , #Hope #BusinessVenture                        ,22,45, Canada    ,0.6705
2014-06-03 08:20:00,144, Empowerment through mentoring and guiding others.    ,Neutral, MentorEmpower   , Twitter  , #Empowerment #Mentorship                      ,15,30, UK       ,0.0
2019-01-15 14:50:00,145, Compassion shown through acts of kindness in the community.,Positive, KindnessInAction, Instagram , #Compassion #CommunityKindness               ,18,35, Australia ,0.7184
2016-12-25 19:30:00,146, Tenderness in a heartfelt message to a loved one.    ,Positive, LoveExpress     , Facebook , #Tenderness #LoveNote                         ,25,50, UK          ,0.8807
2018-03-10 09:45:00,147, Arousal of excitement before a much-awaited trip.    ,Positive, TravelExcitement, Twitter  , #Arousal #TravelAdventure                     ,20,40, India    ,0.4939
2020-09-17 16:30:00,148, Enthusiasm for a new artistic project in the works.  ,Positive, ArtisticSpirit  , Instagram , #Enthusiasm #ArtisticProject                 ,15,30, USA       ,0.4404
2011-08-28 18:45:00,149, Feeling a sense of fulfillment after helping others. ,Positive, HelperHeart     , Facebook , #Fulfillment #HelpingOthers                  ,22,45, Canada    ,0.4019
2017-11-01 15:30:00,150, Reverence for the historical significance of a landmark.,Positive, HistoryBuff     , Twitter  , #Reverence #HistoricalSite                   ,18,35, Australia ,0.34
2019-06-15 10:00:00,151, Elation after achieving a fitness milestone.         ,Positive, FitnessAchiever2, Instagram , #Elation #FitnessMilestone                   ,25,50, UK           ,0.5574
2022-04-03 11:45:00,152, The euphoria of a successful product launch.         ,Positive, ProductLaunchJoy, Facebook , #Euphoria #ProductLaunchSuccess              ,15,30, USA       ,0.8442
2010-11-12 20:20:00,153, Contentment in the embrace of a loved one.           ,Positive, LovingEmbrace   , Twitter  , #Contentment #Love                             ,30,60, India    ,0.8271
2011-07-22 18:30:00,154, Serenity found in the beauty of a sunset by the sea.  ,Positive, SunsetWatcher2  , Instagram , #Serenity #SunsetViews                       ,22,45, Canada     ,0.5859
2012-03-30 11:20:00,155, Gratitude for the small joys that each day brings.   ,Positive, JoyfulHeart2    , Facebook , #Gratitude #SmallJoys                        ,15,30, Australia   ,0.7579
2013-10-05 16:40:00,156, Hopeful about the potential for personal growth.      ,Positive, GrowthOptimist  , Twitter  , #Hope #PersonalDevelopment                    ,18,35, UK       ,0.7096
2014-07-10 13:15:00,157, Empowerment through learning a new skill.            ,Neutral, SkillEmpower    , Instagram , #Empowerment #SkillBuilding                   ,25,50, India   ,0.0
2015-12-18 14:20:00,158, Compassion in volunteering for a local charity.       ,Positive, CharityVolunteer, Facebook , #Compassion #VolunteerWork                   ,18,35, USA      ,0.7003
2016-02-10 19:45:00,159, Tenderness in a quiet moment shared with a pet.      ,Positive, PetLove         , Twitter  , #Tenderness #PetLove                          ,25,50, Canada   ,0.6369
2017-09-25 11:30:00,160, Arousal of excitement for an upcoming festival.       ,Positive, FestivalFan     , Instagram , #Arousal #FestivalExcitement               ,20,40, UK ,0.7506
2018-04-15 16:00:00,161, Enthusiasm for a DIY home improvement project.       ,Positive, DIYEnthusiast   , Facebook , #Enthusiasm #HomeImprovement                 ,15,30, Australia   ,0.7096
2019-11-28 18:20:00,162, Fulfillment in completing a challenging puzzle.      ,Positive, PuzzleMaster    , Twitter  , #Fulfillment #PuzzleChallenge                ,22,45, India    ,0.1531
2020-05-11 15:00:00,163, Reverence for the wonders of nature on a hiking trail.,Neutral, NatureAdmirer   , Instagram , #Reverence #NatureExploration                ,18,35, USA        ,0.0
2021-02-05 09:30:00,164, Elation after a surprise reunion with a childhood friend.,Positive, ChildhoodJoy    , Facebook , #Elation #FriendshipReunion                  ,25,50, Canada      ,0.7783
2021-03-10 08:30:00,165, Suffering from despair after another setback.      ,Negative, StrugglingSoul    , Twitter  , #Despair #Struggle                              ,5,10, USA          ,-0.6597
2022-07-05 15:45:00,166," Overwhelmed by grief, missing a loved one dearly.  ",Positive, MourningHeart     , Instagram , #Grief #Loss                                   ,8,15, Canada          ,0.3612
2019-11-18 21:20:00,167, Loneliness creeps in as the night grows colder.    ,Negative, SolitarySoul      , Facebook , #Loneliness #Isolation                         ,10,20, UK           ,-0.4215
2020-08-12 11:30:00,168, Jealousy consumes me as I witness others' success. ,Positive, EnviousObserver   , Twitter  , #Jealousy #Envy                               ,12,25, India        ,0.34
2018-05-22 14:45:00,169, Resentment building up over past betrayals.        ,Negative, BitterHeart       , Instagram , #Resentment #Bitterness                       ,7,15, Australia     ,-0.4404
2017-01-30 16:10:00,170, Frustration mounts as obstacles block my path.     ,Negative, BlockedGoals      , Facebook , #Frustration #Obstacles                       ,10,20, USA          ,-0.8225
2016-09-28 19:45:00,171," Boredom sets in, the day feels endlessly dull.     ",Negative, BoredMind         , Twitter  , #Boredom #LackOfInterest                     ,8,15, Canada        ,-0.6124
