SR.No,text,Timestamp,Username,Platform,Hashtags,Retweets,Likes,Country,preprocessed_text,sentiment_score,sentiment_label
42, Planning a garden makeover for spring.             ,28-01-2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,planning garden makeover spring,0.0,Neutral
43, Celebrating a friend's birthday tonight! 🎂       ,28-01-2023 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,celebrating friend 's birthday tonight 🎂,0.6114,Positive
44, Feeling accomplished after a productive day.       ,29-01-2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,feeling accomplished productive day,0.5267,Positive
45, A cozy evening with a good movie.                 ,29-01-2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,cozy evening good movie,0.4404,Positive
46, Exploring local art galleries this weekend.        ,30-01-2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,exploring local art galleries weekend,0.0,Neutral
47, New book release from my favorite author!          ,30-01-2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,new book release favorite author,0.5093,Positive
48, Attending a virtual reality meetup.                ,30-01-2023 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,attending virtual reality meetup,0.0,Neutral
49, Reflecting on the beauty of nature.                ,31-01-2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,reflecting beauty nature,0.5859,Positive
50, Cooking a special dinner for loved ones.           ,31-01-2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,cooking special dinner loved ones,0.765,Positive
51, Feeling optimistic about the week ahead.           ,31-01-2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,feeling optimistic week ahead,0.4215,Positive
52, Starting a new fitness challenge tomorrow! 💪     ,01-02-2023 08:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,starting new fitness challenge tomorrow 💪,0.4003,Positive
53, Sunday bike ride through scenic trails.           ,01-02-2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,sunday bike ride scenic trails,0.0,Neutral
54, Can't believe the injustice happening in our society.,11-02-2023 09:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,ca n't believe injustice happening society,0.4585,Positive
55, Feeling a sense of fear after watching a thriller movie. ,11-02-2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,feeling sense fear watching thriller movie,-0.3182,Negative
56, Heartbroken after hearing the news about a natural disaster. ,12-02-2023 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,heartbroken hearing news natural disaster,-0.7845,Negative
57, The state of the world's environment is just disgusting. ,12-02-2023 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,state world 's environment disgusting,-0.5267,Negative
58, Pure happiness: celebrating a loved one's achievement! ,13-02-2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,pure happiness celebrating loved one 's achievement,0.9098,Positive
59, Laughter is the best medicine—enjoying a comedy show. ,13-02-2023 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,laughter best medicine—enjoying comedy show,0.872,Positive
60, Sharing love and positive vibes with everyone! ❤️      ,14-02-2023 08:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,sharing love positive vibes everyone ❤️,0.8977,Positive
61, An amusing incident brightened up my day!               ,14-02-2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,amusing incident brightened day,0.7177,Positive
62, Enjoying a quiet evening with a book and some tea.      ,14-02-2023 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,enjoying quiet evening book tea,0.5267,Positive
63, Admiring the beauty of nature during a peaceful hike.   ,15-02-2023 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,admiring beauty nature peaceful hike,0.8625,Positive
64, Sending affectionate vibes to all my followers!          ,15-02-2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,sending affectionate vibes followers,0.4926,Positive
65, Experiencing awe at the breathtaking sunset.            ,15-02-2023 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,experiencing awe breathtaking sunset,0.4588,Positive
66, Disappointed with the service at a local restaurant.    ,16-02-2023 09:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,disappointed service local restaurant,-0.4767,Negative
67, A surprise gift from a friend made my day!              ,16-02-2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,surprise gift friend made day,0.8172,Positive
68, Finding acceptance in the midst of life's challenges.   ,16-02-2023 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,finding acceptance midst life 's challenges,0.5106,Positive
69, Overflowing with adoration for my adorable pet! 🐾      ,17-02-2023 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,overflowing adoration adorable pet 🐾,0.8122,Positive
70, Anticipating a thrilling adventure in the coming weeks. ,17-02-2023 07:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,anticipating thrilling adventure coming weeks,0.6597,Positive
71, A bitter experience turned into a valuable lesson.      ,17-02-2023 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,bitter experience turned valuable lesson,0.0772,Positive
72, Finding calmness in the midst of a busy day.            ,18-02-2023 09:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,finding calmness midst busy day,0.4019,Positive
73, Confusion clouds my mind as I navigate through decisions.,18-02-2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,confusion clouds mind navigate decisions,-0.296,Negative
74, Excitement building up for the upcoming vacation!       ,18-02-2023 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,excitement building upcoming vacation,0.5411,Positive
75, Kindness witnessed today restored my faith in humanity. ,19-02-2023 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,kindness witnessed today restored faith humanity,0.802,Positive
76, Pride in achieving a personal milestone.               ,19-02-2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,pride achieving personal milestone,0.34,Positive
77, A moment of shame for not standing up against injustice. ,19-02-2023 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,moment shame standing injustice,-0.7783,Negative
78, Fuming with anger after a heated argument.            ,20-02-2023 09:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,fuming anger heated argument,-0.872,Negative
79, The fear of the unknown is keeping me up at night.    ,20-02-2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,fear unknown keeping night,-0.4939,Negative
80, Heartfelt sadness after bidding farewell to a dear friend. ,21-02-2023 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,heartfelt sadness bidding farewell dear friend,0.7506,Positive
81, The state of corruption in our society is utterly disgusting. ,21-02-2023 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,state corruption society utterly disgusting,-0.5709,Negative
82, Overflowing happiness: welcoming a new family member!  ,22-02-2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,overflowing happiness welcoming new family member,0.7777,Positive
83, Laughter is the key to joy—attending a stand-up comedy show. ,22-02-2023 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,laughter key joy—attending stand-up comedy show,0.6908,Positive
84, Sending love to all my followers on this beautiful day! ❤️ ,23-02-2023 08:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,sending love followers beautiful day ❤️,0.8784,Positive
85, Amused by the antics of my pet—it's pure amusement!      ,23-02-2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,amused antics pet—it 's pure amusement,0.68,Positive
86, Enjoying every moment of this trip—pure enjoyment!      ,23-02-2023 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,enjoying every moment trip—pure enjoyment,0.807,Positive
87, Admiring the dedication of volunteers at a local charity. ,24-02-2023 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,admiring dedication volunteers local charity,0.6597,Positive
88, Sending affectionate vibes to friends and family.        ,24-02-2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,sending affectionate vibes friends family,0.7184,Positive
89, Awe-struck by the beauty of the night sky.               ,24-02-2023 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,awe-struck beauty night sky,0.5859,Positive
90, Disappointed with the lack of progress in a personal project. ,25-02-2023 09:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,disappointed lack progress personal project,-0.3818,Negative
91, A surprise visit from an old friend brought tears of joy. ,25-02-2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,surprise visit old friend brought tears joy,0.802,Positive
92, Embracing acceptance of life's ups and downs.           ,25-02-2023 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,embracing acceptance life 's ups downs,0.4588,Positive
93, Overflowing adoration for a cute rescue puppy! 🐶       ,26-02-2023 10:45, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,overflowing adoration cute rescue puppy 🐶,0.8883,Positive
94, Anticipating the release of a much-awaited movie.       ,26-02-2023 07:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,anticipating release much-awaited movie,0.0,Neutral
95, Bitter experience at the customer service department.   ,26-02-2023 15:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,bitter experience customer service department,-0.4215,Negative
96, Finding calmness amidst the chaos of daily life.        ,27-02-2023 09:30, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,finding calmness amidst chaos daily life,-0.25,Negative
97, Confusion reigns as I try to make sense of recent events.,27-02-2023 14:20, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,confusion reigns try make sense recent events,-0.296,Negative
98, Excitement building up for a surprise birthday party.   ,27-02-2023 18:45, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,excitement building surprise birthday party,0.7906,Positive
99, Witnessed an act of kindness that made my day.          ,28-02-2023 11:30, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,witnessed act kindness made day,0.4588,Positive
100, Pride in completing a challenging fitness challenge.    ,28-02-2023 16:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,pride completing challenging fitness challenge,0.6597,Positive
101, A moment of shame for not speaking up against injustice.,28-02-2023 19:45, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,moment shame speaking injustice,-0.7783,Negative
102, Reflecting on the beauty of diversity in our world.     ,01-03-2023 10:45, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,reflecting beauty diversity world,0.5859,Positive
103, Excitement for a quiet evening with a good book.        ,01-03-2023 13:30, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,excitement quiet evening good book,0.7269,Positive
104, Feeling bitter about the unfairness in the workplace.   ,01-03-2023 17:45, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,feeling bitter unfairness workplace,-0.3182,Negative
105, Calmness prevails as I practice mindfulness.            ,02-03-2023 18:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,calmness prevails practice mindfulness,0.4019,Positive
106, Confusion surrounds me as I navigate through life's choices. ,02-03-2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,confusion surrounds navigate life 's choices,-0.296,Negative
107, Excitement for a weekend road trip to explore new places. ,02-03-2023 16:45, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,excitement weekend road trip explore new places,0.4939,Positive
108, Kindness witnessed today restores my faith in humanity.  ,03-03-2023 11:30, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,kindness witnessed today restores faith humanity,0.7906,Positive
109, Pride in accomplishing personal and professional goals.  ,03-03-2023 14:30, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,pride accomplishing personal professional goals,0.34,Positive
110, Shame for not being true to my values in a difficult situation.,03-03-2023 12:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,shame true values difficult situation,-0.6407,Negative
111," Revisiting old memories, feeling a sense of elation. ",15-05-2010 15:30, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,revisiting old memories feeling sense elation,0.4588,Positive
112, The victory of our team brought euphoria to the city. ,10-08-2021 21:15, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,victory team brought euphoria city,0.6486,Positive
113," Embracing the beauty of nature, a moment of contentment. ",20-06-2011 14:45, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,embracing beauty nature moment contentment,0.743,Positive
114," Meditating by the serene lake, finding inner peace.   ",12-02-2022 18:20, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,meditating serene lake finding inner peace,0.7579,Positive
115, Overflowing with gratitude for life's blessings.      ,25-11-2012 10:00, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,overflowing gratitude life 's blessings,0.7783,Positive
116," Hopeful for a brighter tomorrow, despite challenges.  ",05-04-2013 19:30, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      ,hopeful brighter tomorrow despite challenges,0.6886,Positive
117, Empowered to make a difference in my community.        ,14-09-2014 08:30, CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       ,empowered make difference community,0.0,Neutral
118, Compassion in action: supporting a local charity event. ,18-07-2015 14:20, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,compassion action supporting local charity event,0.8271,Positive
119," A moment of tenderness, connecting with loved ones.    ",23-02-2016 19:45, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,moment tenderness connecting loved ones,0.7717,Positive
120, Arousal of excitement as I await a special announcement.,30-10-2017 11:30, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20,40, Australia ,arousal excitement await special announcement,0.743,Positive
121, Enthusiastically diving into a new project.            ,15-06-2018 16:00, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,enthusiastically diving new project,0.5994,Positive
122, Feeling a sense of fulfillment after reaching a milestone.,28-03-2019 18:20, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,feeling sense fulfillment reaching milestone,0.3182,Positive
123, Reverence for the beauty of a historic landmark.       ,11-11-2019 15:00, HistoryLover    , Twitter  , #Reverence #History                           ,18,35, UK      ,reverence beauty historic landmark,0.6249,Positive
124, Elation after a surprise reunion with old friends.    ,02-04-2020 09:30, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25,50, Canada      ,elation surprise reunion old friends,0.7717,Positive
125, The euphoria of a live music concert under the stars.  ,19-06-2021 14:45, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,euphoria live music concert stars,0.6486,Positive
126, Contentment in the simplicity of a quiet Sunday.       ,15-08-2010 10:00, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,contentment simplicity quiet sunday,0.3612,Positive
127, Serenity found in the pages of a favorite book.        ,22-09-2011 19:30, BookLover3      , Instagram , #Serenity #BookTime                           ,22,45, UK          ,serenity found pages favorite book,0.4588,Positive
128, Gratitude for the support received during tough times. ,10-03-2012 08:30, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15,30, India     ,gratitude support received tough times,0.6705,Positive
129, Hopeful about the possibilities of a new journey.      ,05-12-2013 16:00, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,hopeful possibilities new journey,0.5106,Positive
130, Empowerment through learning and personal growth.      ,20-07-2014 11:30, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,empowerment learning personal growth,0.3818,Positive
131, Compassion towards those in need during the holidays.  ,22-12-2015 14:20, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,compassion towards need holidays,0.6808,Positive
132, Tenderness in the warmth of a cozy winter evening.     ,10-02-2016 19:45, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,tenderness warmth cozy winter evening,0.7003,Positive
133, Arousal of excitement for an upcoming adventure.       ,30-04-2017 11:30, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,arousal excitement upcoming adventure,0.6705,Positive
134, Enthusiasm for a creative project in the making.       ,15-09-2018 16:00, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,enthusiasm creative project making,0.7003,Positive
135, Fulfillment in completing a challenging workout routine.,28-06-2019 18:20, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,fulfillment completing challenging workout routine,0.1531,Positive
136, Reverence for the artistry displayed in a museum.      ,11-11-2020 15:00, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,reverence artistry displayed museum,0.0,Neutral
137, Elation after achieving a personal goal.               ,02-03-2021 09:30, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,elation achieving personal goal,0.3612,Positive
138, Elation over discovering a hidden gem in the city.   ,18-02-2012 14:30, UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20,40, USA      ,elation discovering hidden gem city,0.3612,Positive
139, The euphoria of a surprise birthday celebration.     ,05-11-2018 21:45, BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15,30, UK   ,euphoria surprise birthday celebration,0.7506,Positive
140, Contentment in the simplicity of a home-cooked meal. ,12-09-2015 13:20, HomeChef        , Facebook , #Contentment #HomeCooking                     ,25,50, India    ,contentment simplicity home-cooked meal,0.3612,Positive
141, Serenity found in the melody of a peaceful piano.    ,30-07-2016 18:10, MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18,35, Canada      ,serenity found melody peaceful piano,0.4939,Positive
142, Gratitude for the supportive community around me.    ,20-04-2013 10:30, CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30,60, USA ,gratitude supportive community around,0.6705,Positive
143, Hopeful about the prospects of a new business venture.,08-12-2017 19:15, EntrepreneurHope, Facebook , #Hope #BusinessVenture                        ,22,45, Canada    ,hopeful prospects new business venture,0.6705,Positive
144, Empowerment through mentoring and guiding others.    ,03-06-2014 08:20, MentorEmpower   , Twitter  , #Empowerment #Mentorship                      ,15,30, UK       ,empowerment mentoring guiding others,0.0,Neutral
145, Compassion shown through acts of kindness in the community.,15-01-2019 14:50, KindnessInAction, Instagram , #Compassion #CommunityKindness               ,18,35, Australia ,compassion shown acts kindness community,0.7184,Positive
146, Tenderness in a heartfelt message to a loved one.    ,25-12-2016 19:30, LoveExpress     , Facebook , #Tenderness #LoveNote                         ,25,50, UK          ,tenderness heartfelt message loved one,0.8807,Positive
147, Arousal of excitement before a much-awaited trip.    ,10-03-2018 09:45, TravelExcitement, Twitter  , #Arousal #TravelAdventure                     ,20,40, India    ,arousal excitement much-awaited trip,0.4939,Positive
148, Enthusiasm for a new artistic project in the works.  ,17-09-2020 16:30, ArtisticSpirit  , Instagram , #Enthusiasm #ArtisticProject                 ,15,30, USA       ,enthusiasm new artistic project works,0.4404,Positive
149, Feeling a sense of fulfillment after helping others. ,28-08-2011 18:45, HelperHeart     , Facebook , #Fulfillment #HelpingOthers                  ,22,45, Canada    ,feeling sense fulfillment helping others,0.4019,Positive
150, Reverence for the historical significance of a landmark.,01-11-2017 15:30, HistoryBuff     , Twitter  , #Reverence #HistoricalSite                   ,18,35, Australia ,reverence historical significance landmark,0.34,Positive
151, Elation after achieving a fitness milestone.         ,15-06-2019 10:00, FitnessAchiever2, Instagram , #Elation #FitnessMilestone                   ,25,50, UK           ,elation achieving fitness milestone,0.5574,Positive
152, The euphoria of a successful product launch.         ,03-04-2022 11:45, ProductLaunchJoy, Facebook , #Euphoria #ProductLaunchSuccess              ,15,30, USA       ,euphoria successful product launch,0.8442,Positive
